orignal code,DSP,LUT,CP,FF,SLICE
cdfg_27/cdfg_13,6,1.578,7.98,2.447,3.705
cdfg_27/cdfg_14,4,0.206,5.692,0.277,0.46
cdfg_27/cdfg_15,5,7.876,8.78,11.714,14.99
cdfg_27/cdfg_16,5,9.66,10.543,12.01,17.86
cdfg_27/cdfg_17,17,10.824,8.809,14.881,20.25
cdfg_27/cdfg_18,10,5.851,7.239,5.949,9.19
cdfg_27/cdfg_19,7,13.082,7.857,17.643,21.605
cdfg_27/cdfg_20,7,1.134,8.247,1.233,2.105
cdfg_27/cdfg_21,11,0.884,7.809,0.76,1.59
cdfg_27/cdfg_22,14,0.907,8.471,1.282,2.165
cdfg_27/cdfg_23,0,0.001,1.17,0.001,0.005
cdfg_27/cdfg_24,0,0.001,1.17,0.001,0.005
cdfg_27/cdfg_26,8,4.698,9.624,6.643,7.755
cdfg_27/cdfg_28,6,1.909,8.861,2.319,3.89
cdfg_27/cdfg_29,1,3.871,11.731,4.068,7.485
cdfg_27/cdfg_30,26,1.316,8.546,2.079,3.365
cdfg_27/cdfg_31,10,0.675,6.911,0.888,1.32
cdfg_27/cdfg_32,0,0.567,7.495,0.718,1.13
cdfg_27/cdfg_33,28,0.371,9.432,0.369,0.995
cdfg_27/cdfg_34,17,8.703,8.525,11.287,16.46
cdfg_27/cdfg_35,6,1.868,8.686,2.248,3.755
cdfg_27/cdfg_36,0,0.028,1.614,0.003,0.04
cdfg_27/cdfg_37,5,0.744,8.274,0.862,1.435
cdfg_27/cdfg_38,14,1.915,7.618,2.233,3.64
cdfg_27/cdfg_39,14,15.194,9.123,17.793,26.42
cdfg_27/cdfg_40,10,9.482,8.883,10.795,16.335
cdfg_27/cdfg_41,1,4.114,7.225,4.951,7.305
cdfg_27/cdfg_42,10,6.878,8.929,6.577,11.775
cdfg_27/cdfg_43,8,1.251,8.316,1.374,2.275
cdfg_27/cdfg_44,14,2.623,9.222,2.423,4.955
cdfg_27/cdfg_45,5,4.448,9.119,5.562,7.275
cdfg_27/cdfg_46,14,5.058,8.53,8.602,9.76
cdfg_27/cdfg_47,3,10.314,8.601,10.169,16.28
cdfg_27/cdfg_48,1,5.479,7.681,4.522,8.33
cdfg_27/cdfg_49,13,2.562,8.189,2.255,4.515
cdfg_27/cdfg_50,8,5.658,8.936,8.827,10.21
cdfg_27/cdfg_51,37,6.098,10.089,6.438,10.11
cdfg_27/cdfg_52,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_53,21,2.721,8.478,2.906,5.13
cdfg_27/cdfg_54,10,2.331,6.772,3.081,4.475
cdfg_27/cdfg_55,5,0.699,6.979,0.838,1.375
cdfg_27/cdfg_56,7,2.713,8.41,2.816,4.775
cdfg_27/cdfg_58,1,1.196,6.74,1.582,2.345
cdfg_27/cdfg_59,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_60,0,0.593,6.973,0.922,1.425
cdfg_27/cdfg_61,7,0.383,11.137,0.449,0.925
cdfg_27/cdfg_62,13,1.977,8.554,2.639,3.855
cdfg_27/cdfg_63,0,0.01,1.614,0.002,0.015
cdfg_27/cdfg_64,14,1.429,8.107,1.845,2.91
cdfg_27/cdfg_65,2,0.921,8.191,0.754,1.705
cdfg_27/cdfg_66,3,3.145,8.589,3.624,5.825
cdfg_27/cdfg_67,2,0.31,6.406,0.541,0.77
cdfg_27/cdfg_68,29,8.073,8.554,10.062,12.755
cdfg_27/cdfg_69,8,8.765,7.778,12.146,15.475
cdfg_27/cdfg_70,21,5.587,8.807,8.249,9.785
cdfg_27/cdfg_72,1,0.279,5.968,0.207,0.48
cdfg_27/cdfg_73,0,0.002,1.614,0.002,0.005
cdfg_27/cdfg_74,17,5.18,9.25,8.445,9.075
cdfg_27/cdfg_75,8,1.059,8.88,1.664,2.825
cdfg_27/cdfg_76,14,6.844,9.953,7.206,11.925
cdfg_27/cdfg_77,4,0.811,7.719,1.1,1.89
cdfg_27/cdfg_78,34,6.467,10.087,9.768,11.965
cdfg_27/cdfg_79,16,3.686,9.909,3.989,6.945
cdfg_27/cdfg_80,6,6.864,9.48,10.009,11.95
cdfg_27/cdfg_81,7,4.437,8.047,4.802,6.69
cdfg_27/cdfg_82,3,2.077,8.769,3.002,4.44
cdfg_27/cdfg_83,2,1.28,8.66,1.07,2.23
cdfg_27/cdfg_84,4,0.711,6.781,1.679,2.285
cdfg_27/cdfg_85,22,21.926,9.783,20.011,34.595
cdfg_27/cdfg_86,3,4.341,8.753,4.914,6.87
cdfg_27/cdfg_88,11,10.663,7.14,11.129,19.09
cdfg_27/cdfg_89,18,11.527,9.9,14.872,19.1
cdfg_27/cdfg_90,64,3.629,9.543,4.443,7.81
cdfg_27/cdfg_91,10,1.077,8.729,1.968,2.68
cdfg_27/cdfg_92,15,0.549,7.747,0.587,1.16
cdfg_27/cdfg_93,31,5.591,9.931,6.829,9.475
cdfg_27/cdfg_94,0,0.413,7.444,0.446,0.76
cdfg_27/cdfg_95,17,4.807,7.363,4.062,7.885
cdfg_27/cdfg_96,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_97,0,0.005,2.475,0.007,0.01
cdfg_27/cdfg_98,20,2.003,8.602,2.29,4.005
cdfg_27/cdfg_99,30,5.359,8.903,9.041,11.14
cdfg_27/cdfg_100,11,5.169,8.134,7.442,9.495
cdfg_27/cdfg_101,0,0.366,6.241,0.351,0.63
cdfg_27/cdfg_102,7,5.704,8.745,9.179,10.89
cdfg_27/cdfg_103,7,1.777,8.754,1.675,3.38
cdfg_27/cdfg_104,5,6.739,8.541,6.249,10.685
cdfg_27/cdfg_106,2,15.625,9.199,18.353,25.355
cdfg_27/cdfg_107,19,2.016,8.73,2.677,4.845
cdfg_27/cdfg_108,23,5.215,8.489,8.107,9.415
cdfg_27/cdfg_109,35,12.173,9.309,18.123,20.98
cdfg_27/cdfg_110,7,1.166,7.605,1.178,2.13
cdfg_27/cdfg_111,13,1.758,9.033,3.381,4.785
cdfg_27/cdfg_112,5,0.864,8.43,1.332,2.045
cdfg_27/cdfg_113,0,0.197,6.457,0.329,0.495
cdfg_27/cdfg_114,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_115,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_116,3,0.316,6.71,0.412,0.685
cdfg_27/cdfg_117,3,0.354,6.652,0.649,0.93
cdfg_27/cdfg_118,51,1.873,9.249,2.376,4.23
cdfg_27/cdfg_119,2,1.348,8.305,1.281,2.28
cdfg_27/cdfg_121,5,1.845,8.733,2.282,3.575
cdfg_27/cdfg_122,3,0.572,6.518,0.819,1.195
cdfg_27/cdfg_123,34,2.058,8.401,4.196,6.25
cdfg_27/cdfg_124,18,5.755,9.078,9.009,10.58
cdfg_27/cdfg_125,0,0.011,0.0,0.0,0.015
cdfg_27/cdfg_126,15,1.576,8.963,2.444,3.53
cdfg_27/cdfg_127,1,0.012,2.154,0.004,0.035
cdfg_27/cdfg_128,28,5.563,8.895,8.414,10.18
cdfg_27/cdfg_129,1,0.348,6.333,0.499,0.93
cdfg_27/cdfg_130,21,8.516,8.309,11.294,15.68
cdfg_27/cdfg_131,5,1.425,8.562,1.556,2.54
cdfg_27/cdfg_132,0,0.063,0.0,0.0,0.08
cdfg_27/cdfg_133,11,0.339,7.493,0.895,1.085
cdfg_27/cdfg_134,25,0.697,7.636,0.722,1.345
cdfg_27/cdfg_136,5,2.18,8.259,2.66,3.98
cdfg_27/cdfg_137,13,7.023,8.293,8.319,12.8
cdfg_27/cdfg_138,5,4.907,8.675,6.865,9.09
cdfg_27/cdfg_139,1,0.359,5.64,0.23,0.605
cdfg_27/cdfg_140,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_141,18,5.079,8.889,5.287,9.785
cdfg_27/cdfg_142,0,0.185,5.059,0.228,0.315
cdfg_27/cdfg_143,18,1.057,8.336,1.324,2.315
cdfg_27/cdfg_144,12,2.835,7.37,3.615,5.26
cdfg_27/cdfg_145,0,0.529,6.842,0.359,0.765
cdfg_27/cdfg_146,17,3.145,9.009,3.158,5.905
cdfg_27/cdfg_147,24,7.111,9.821,10.525,12.685
cdfg_27/cdfg_148,2,0.416,8.304,0.41,0.76
cdfg_27/cdfg_149,23,8.588,9.043,9.074,15.39
cdfg_27/cdfg_150,16,4.342,8.128,7.909,8.81
cdfg_27/cdfg_151,4,0.443,6.224,0.731,1.14
cdfg_27/cdfg_152,0,0.459,9.042,0.084,0.695
cdfg_27/cdfg_153,15,7.965,8.34,10.769,14.895
cdfg_27/cdfg_154,2,2.805,8.674,3.066,4.82
cdfg_27/cdfg_155,2,1.455,8.562,1.892,2.925
cdfg_27/cdfg_156,17,2.608,9.032,2.794,4.995
cdfg_27/cdfg_157,31,9.157,9.541,13.476,17.125
cdfg_27/cdfg_158,2,2.022,8.714,2.169,3.485
cdfg_27/cdfg_159,7,3.479,9.053,4.222,6.31
cdfg_27/cdfg_160,19,9.858,8.926,12.012,17.93
cdfg_27/cdfg_161,23,4.971,7.895,5.974,8.64
cdfg_27/cdfg_162,4,2.136,8.685,2.305,4.16
cdfg_27/cdfg_163,3,4.968,8.091,8.234,8.91
cdfg_27/cdfg_164,49,9.794,8.584,12.48,17.065
cdfg_27/cdfg_165,12,2.736,8.147,3.924,5.765
cdfg_27/cdfg_166,14,3.387,8.37,3.193,6.57
cdfg_27/cdfg_167,3,4.2,7.998,6.882,7.285
cdfg_27/cdfg_168,12,7.439,8.671,9.33,12.725
cdfg_27/cdfg_169,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_170,3,1.976,8.649,2.166,3.74
cdfg_27/cdfg_171,19,10.207,8.503,13.415,17.29
cdfg_27/cdfg_172,0,0.214,5.902,0.449,0.71
cdfg_27/cdfg_173,14,5.474,8.539,8.495,9.475
cdfg_27/cdfg_174,26,4.576,8.485,4.55,7.545
cdfg_27/cdfg_175,1,0.345,7.217,0.605,0.97
cdfg_27/cdfg_176,15,1.544,8.062,2.204,3.25
cdfg_27/cdfg_177,5,2.312,9.016,2.588,4.48
cdfg_27/cdfg_178,2,2.762,8.386,2.689,4.9
cdfg_27/cdfg_179,18,6.505,8.502,9.154,11.435
cdfg_27/cdfg_180,0,0.032,3.766,0.058,0.09
cdfg_27/cdfg_181,52,2.08,8.548,2.36,4.22
cdfg_27/cdfg_182,1,0.124,5.649,0.122,0.235
cdfg_27/cdfg_183,15,5.26,8.583,9.056,10.085
cdfg_27/cdfg_184,0,0.29,5.441,0.547,0.79
cdfg_27/cdfg_185,6,2.389,8.281,3.107,4.97
cdfg_27/cdfg_186,8,1.874,9.649,2.385,3.765
cdfg_27/cdfg_187,0,0.002,1.633,0.002,0.005
cdfg_27/cdfg_188,0,0.141,7.124,0.466,0.535
cdfg_27/cdfg_189,5,0.532,6.327,0.821,1.145
cdfg_27/cdfg_190,22,0.51,8.74,0.79,1.44
cdfg_27/cdfg_191,4,0.167,5.764,0.261,0.4
cdfg_27/cdfg_192,4,0.804,6.792,1.381,1.835
cdfg_27/cdfg_193,19,4.685,9.501,6.543,8.105
cdfg_27/cdfg_194,12,1.339,8.214,2.205,3.115
cdfg_27/cdfg_195,8,1.367,9.671,1.184,2.51
cdfg_27/cdfg_196,3,0.539,9.031,0.501,0.95
cdfg_27/cdfg_197,3,1.658,8.441,1.991,3.2
cdfg_27/cdfg_198,28,1.049,7.168,1.699,2.475
cdfg_27/cdfg_199,5,1.482,7.87,1.875,2.97
cdfg_28/cdfg_0,33,6.695,9.388,9.116,12.16
cdfg_28/cdfg_1,20,9.41,8.867,10.717,16.58
cdfg_28/cdfg_2,2,0.998,9.187,0.655,1.645
cdfg_28/cdfg_3,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_4,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_5,11,18.344,9.269,19.232,28.505
cdfg_28/cdfg_6,3,3.099,9.07,3.053,5.605
cdfg_28/cdfg_7,4,0.18,4.929,0.175,0.285
cdfg_28/cdfg_8,17,23.552,9.364,25.905,36.36
cdfg_28/cdfg_9,47,7.929,8.661,13.325,15.895
cdfg_28/cdfg_10,14,1.316,8.312,1.45,2.455
cdfg_28/cdfg_11,4,0.57,7.038,1.102,1.45
cdfg_28/cdfg_12,4,0.022,5.692,0.057,0.08
cdfg_28/cdfg_13,5,2.114,8.699,2.233,3.815
cdfg_28/cdfg_14,14,1.618,8.873,1.604,3.195
cdfg_28/cdfg_15,12,8.432,8.983,10.229,14.205
cdfg_28/cdfg_16,0,0.49,7.089,1.164,1.615
cdfg_28/cdfg_17,8,1.512,8.114,1.374,2.765
cdfg_28/cdfg_18,18,3.013,9.299,3.767,6.24
cdfg_28/cdfg_19,3,0.279,6.979,0.55,0.875
cdfg_28/cdfg_20,12,2.515,7.862,3.031,4.94
cdfg_28/cdfg_21,3,0.502,4.854,0.8,1.18
cdfg_28/cdfg_22,64,3.469,9.106,4.198,7.035
cdfg_28/cdfg_23,24,10.138,8.512,10.45,16.275
cdfg_28/cdfg_24,3,1.135,8.046,1.062,2.045
cdfg_28/cdfg_25,9,0.595,7.692,0.896,1.45
cdfg_28/cdfg_26,38,14.143,8.946,20.172,24.31
cdfg_28/cdfg_27,0,7.866,7.974,9.178,13.34
cdfg_28/cdfg_28,11,10.649,8.787,13.068,18.345
cdfg_28/cdfg_29,0,0.245,7.783,0.376,0.61
cdfg_28/cdfg_30,21,3.568,8.658,3.412,6.255
cdfg_28/cdfg_32,11,5.803,8.366,9.74,11.175
cdfg_28/cdfg_33,0,0.356,7.091,0.141,0.545
cdfg_28/cdfg_34,4,0.672,7.457,0.697,1.275
cdfg_28/cdfg_35,15,1.055,6.478,1.686,2.305
cdfg_28/cdfg_36,9,8.364,8.168,10.419,13.47
cdfg_28/cdfg_38,27,4.96,8.377,6.619,9.77
cdfg_28/cdfg_39,8,0.328,6.469,0.284,0.68
cdfg_28/cdfg_40,42,8.213,9.545,11.769,14.785
cdfg_28/cdfg_41,16,1.503,9.134,1.641,3.01
cdfg_28/cdfg_42,6,5.638,8.31,8.451,9.85
cdfg_28/cdfg_43,7,5.502,7.233,5.707,9.005
cdfg_28/cdfg_44,0,0.42,8.023,0.215,0.64
cdfg_28/cdfg_46,16,13.159,8.955,18.129,23.665
cdfg_28/cdfg_47,3,2.225,8.306,2.37,3.96
cdfg_28/cdfg_48,7,1.599,7.928,1.871,3.205
cdfg_28/cdfg_50,23,3.9,9.98,4.264,7.275
cdfg_28/cdfg_51,3,2.385,8.285,2.073,4.345
cdfg_28/cdfg_52,0,0.427,7.378,0.6,0.835
cdfg_28/cdfg_53,22,6.838,8.701,10.1,12.69
cdfg_28/cdfg_54,30,2.809,9.762,3.322,6.22
cdfg_28/cdfg_55,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_56,2,7.6,9.165,7.601,12.74
cdfg_28/cdfg_57,37,6.489,9.573,9.465,11.985
cdfg_28/cdfg_58,47,2.294,9.876,2.657,4.85
cdfg_28/cdfg_59,20,5.021,8.313,8.297,9.05
cdfg_28/cdfg_60,16,6.379,8.635,9.937,11.56
cdfg_28/cdfg_61,0,0.035,5.614,0.013,0.085
cdfg_28/cdfg_62,38,2.395,8.868,3.589,6.085
cdfg_28/cdfg_63,0,8.111,8.183,10.152,13.735
cdfg_28/cdfg_65,6,4.466,8.425,7.282,8.52
cdfg_28/cdfg_66,3,0.941,8.101,0.884,1.825
cdfg_28/cdfg_67,8,2.574,8.678,2.796,4.64
cdfg_28/cdfg_68,29,7.458,8.492,10.76,13.495
cdfg_28/cdfg_69,23,2.657,8.201,2.933,5.07
cdfg_28/cdfg_70,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_71,15,17.782,9.567,22.579,27.845
cdfg_28/cdfg_72,3,1.81,8.571,1.816,3.015
cdfg_28/cdfg_73,26,9.777,8.919,12.65,16.485
cdfg_28/cdfg_74,0,0.055,4.881,0.044,0.08
cdfg_28/cdfg_76,2,0.388,8.364,0.342,0.645
cdfg_28/cdfg_77,3,0.831,7.933,0.716,1.565
cdfg_28/cdfg_78,19,0.646,8.505,0.588,1.23
cdfg_28/cdfg_79,16,2.498,8.571,2.527,4.295
cdfg_28/cdfg_80,1,0.471,6.046,0.472,0.885
cdfg_28/cdfg_82,1,0.17,5.669,0.125,0.275
cdfg_28/cdfg_83,4,8.113,7.793,14.217,14.345
cdfg_28/cdfg_84,10,4.935,8.29,8.53,9.76
cdfg_28/cdfg_86,18,2.382,9.962,2.735,4.67
cdfg_28/cdfg_87,3,0.293,6.759,0.404,0.715
cdfg_28/cdfg_88,5,1.216,8.215,1.092,2.095
cdfg_28/cdfg_89,7,6.822,9.866,10.73,12.54
cdfg_28/cdfg_90,47,2.466,9.085,2.516,4.705
cdfg_28/cdfg_91,0,0.647,6.94,0.981,1.485
cdfg_28/cdfg_92,3,1.316,7.964,1.261,2.315
cdfg_28/cdfg_93,16,4.262,8.163,3.29,6.81
cdfg_28/cdfg_94,30,14.904,10.094,17.996,24.37
cdfg_28/cdfg_95,16,0.283,8.218,0.135,0.455
cdfg_28/cdfg_96,5,12.907,9.08,15.105,19.7
cdfg_28/cdfg_97,7,6.919,8.108,6.915,11.35
cdfg_28/cdfg_98,21,2.505,8.621,3.701,5.505
cdfg_28/cdfg_99,11,9.693,9.044,10.58,16.435
cdfg_28/cdfg_100,2,0.008,6.583,0.025,0.04
cdfg_28/cdfg_101,17,1.204,8.919,1.384,2.45
cdfg_28/cdfg_102,4,1.299,6.83,2.669,3.72
cdfg_28/cdfg_103,11,2.086,8.164,1.998,4.025
cdfg_28/cdfg_104,2,7.848,8.763,9.759,13.895
cdfg_28/cdfg_105,20,2.747,10.078,3.138,5.445
cdfg_28/cdfg_106,0,0.034,0.0,0.0,0.07
cdfg_28/cdfg_107,3,4.04,8.111,6.778,7.29
cdfg_28/cdfg_108,2,9.784,9.665,9.087,15.845
cdfg_28/cdfg_109,4,3.124,8.735,3.699,6.07
cdfg_28/cdfg_110,2,0.037,5.494,0.054,0.09
cdfg_28/cdfg_112,0,0.035,1.847,0.008,0.06
cdfg_28/cdfg_113,9,0.885,8.419,1.445,2.425
cdfg_28/cdfg_114,10,4.679,8.529,7.58,8.41
cdfg_28/cdfg_115,28,0.632,9.018,1.046,1.585
cdfg_28/cdfg_116,10,5.9,8.799,8.409,10.84
cdfg_28/cdfg_117,0,12.778,8.339,17.142,21.955
cdfg_28/cdfg_118,0,0.281,6.774,0.317,0.47
cdfg_28/cdfg_119,5,2.79,9.521,3.343,5.3
cdfg_28/cdfg_120,3,4.023,8.038,6.999,7.66
cdfg_28/cdfg_121,0,0.003,1.672,0.003,0.005
cdfg_28/cdfg_122,14,2.153,8.522,2.42,4.145
cdfg_28/cdfg_123,10,10.516,8.641,13.301,16.84
cdfg_28/cdfg_124,4,0.328,6.916,0.331,0.605
cdfg_28/cdfg_125,22,13.084,9.413,19.536,22.15
cdfg_28/cdfg_126,8,1.699,8.947,2.053,3.18
cdfg_28/cdfg_127,0,0.022,0.0,0.0,0.03
cdfg_28/cdfg_128,7,4.835,8.239,6.795,8.39
cdfg_28/cdfg_129,0,0.597,7.054,1.035,1.475
cdfg_28/cdfg_130,5,15.498,8.674,18.561,24.915
cdfg_28/cdfg_131,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_132,6,1.407,8.575,1.648,2.71
cdfg_28/cdfg_135,18,2.096,8.8,2.532,4.605
cdfg_28/cdfg_136,10,5.901,8.426,8.693,10.85
cdfg_28/cdfg_137,16,14.335,9.763,17.52,24.56
cdfg_28/cdfg_138,2,1.23,8.767,2.448,3.68
cdfg_28/cdfg_139,5,3.238,8.698,4.87,7.28
cdfg_28/cdfg_140,4,0.09,4.413,0.202,0.26
cdfg_28/cdfg_141,24,5.63,9.8,8.204,9.7
cdfg_28/cdfg_142,0,0.249,6.864,0.274,0.475
cdfg_28/cdfg_143,4,0.47,7.255,0.497,0.865
cdfg_28/cdfg_144,18,0.883,8.821,1.074,1.755
cdfg_28/cdfg_145,30,7.619,9.506,7.671,12.415
cdfg_28/cdfg_146,5,1.557,8.65,1.906,3.33
cdfg_28/cdfg_147,17,3.977,9.434,4.191,7.675
cdfg_28/cdfg_148,3,1.499,8.927,1.523,2.76
cdfg_28/cdfg_149,15,6.138,8.686,9.305,10.955
cdfg_28/cdfg_150,5,1.092,8.323,1.38,2.385
cdfg_28/cdfg_152,12,5.212,9.941,8.026,9.8
cdfg_28/cdfg_153,24,3.861,8.611,4.881,7.575
cdfg_28/cdfg_154,0,0.692,7.023,1.238,1.69
cdfg_28/cdfg_156,17,3.571,8.502,4.555,7.405
cdfg_28/cdfg_157,21,6.268,8.484,9.371,11.435
cdfg_28/cdfg_158,8,1.491,8.029,1.676,3.03
cdfg_28/cdfg_159,5,0.257,8.0,0.224,0.425
cdfg_28/cdfg_160,16,0.184,7.916,0.084,0.335
cdfg_28/cdfg_161,7,2.398,8.516,2.4,4.36
cdfg_28/cdfg_163,19,5.328,8.44,9.197,10.515
cdfg_28/cdfg_164,19,1.966,8.982,2.916,4.96
cdfg_28/cdfg_165,18,8.604,10.187,7.75,12.865
cdfg_28/cdfg_166,0,0.237,6.069,0.58,0.74
cdfg_28/cdfg_167,0,0.549,9.429,0.434,0.97
cdfg_28/cdfg_168,0,13.325,9.024,15.859,22.275
cdfg_28/cdfg_169,0,0.187,4.796,0.17,0.295
cdfg_28/cdfg_170,0,0.693,6.914,0.636,1.26
cdfg_28/cdfg_171,12,1.401,8.637,1.171,2.54
cdfg_28/cdfg_172,14,5.256,8.625,7.125,9.21
cdfg_28/cdfg_173,16,1.162,7.169,1.534,2.375
cdfg_28/cdfg_174,0,0.209,6.411,0.648,0.815
cdfg_28/cdfg_175,7,7.073,9.072,6.71,11.81
cdfg_28/cdfg_176,2,0.21,5.998,0.33,0.48
cdfg_28/cdfg_177,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_178,44,15.872,9.567,20.007,25.5
cdfg_28/cdfg_179,31,4.438,8.509,7.272,8.76
cdfg_28/cdfg_180,23,13.961,9.255,20.217,22.765
cdfg_28/cdfg_181,10,4.027,8.513,4.671,7.435
cdfg_28/cdfg_182,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_183,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_184,8,6.095,8.438,8.478,11.43
cdfg_28/cdfg_185,14,7.555,8.752,8.766,12.7
cdfg_28/cdfg_186,0,2.026,6.457,2.46,4.31
cdfg_28/cdfg_187,13,1.679,8.075,2.659,3.745
cdfg_28/cdfg_188,19,6.878,8.931,10.01,12.015
cdfg_28/cdfg_189,2,0.801,8.38,0.744,1.34
cdfg_28/cdfg_190,2,0.232,8.424,0.257,0.455
cdfg_28/cdfg_191,23,5.608,8.465,9.507,11.225
cdfg_28/cdfg_192,23,2.081,8.753,2.971,4.815
cdfg_28/cdfg_194,0,0.002,1.633,0.002,0.005
cdfg_28/cdfg_195,8,1.122,8.815,1.35,2.25
cdfg_28/cdfg_196,21,11.05,8.597,13.888,20.265
cdfg_28/cdfg_197,29,12.423,9.834,17.739,21.84
cdfg_28/cdfg_198,7,3.374,8.577,3.441,6.17
cdfg_28/cdfg_199,1,0.329,6.031,0.366,0.65
cdfg_29/cdfg_0,0,0.002,1.633,0.002,0.005
cdfg_29/cdfg_1,3,0.24,8.329,0.321,0.56
cdfg_29/cdfg_2,0,0.002,1.633,0.002,0.005
cdfg_29/cdfg_3,3,5.35,10.416,7.759,8.815
cdfg_29/cdfg_4,2,1.7,8.263,1.684,2.69
cdfg_29/cdfg_5,0,0.156,5.143,0.045,0.21
cdfg_29/cdfg_6,19,2.285,8.538,1.557,3.95
cdfg_29/cdfg_7,0,0.006,1.69,0.004,0.01
cdfg_29/cdfg_8,21,4.673,8.434,7.81,8.745
cdfg_29/cdfg_9,3,2.037,6.176,2.867,4.105
cdfg_29/cdfg_10,16,3.507,8.651,4.349,7.085
cdfg_29/cdfg_11,22,1.247,8.669,2.653,4.095
cdfg_29/cdfg_13,5,0.742,8.923,0.876,1.56
cdfg_29/cdfg_14,2,6.927,8.06,9.31,12.01
cdfg_29/cdfg_15,8,5.013,7.944,8.75,9.27
cdfg_29/cdfg_17,6,10.71,8.064,9.899,16.555
cdfg_29/cdfg_18,27,8.317,8.873,10.727,14.51
cdfg_29/cdfg_19,16,1.137,8.393,1.777,2.53
cdfg_29/cdfg_20,9,2.742,8.245,3.39,5.325
cdfg_29/cdfg_21,5,1.888,8.399,2.11,3.365
cdfg_29/cdfg_22,14,8.537,8.49,11.507,16.005
cdfg_29/cdfg_23,3,9.502,7.239,12.369,16.35
cdfg_29/cdfg_24,0,0.002,1.633,0.002,0.005
cdfg_29/cdfg_27,0,0.002,1.633,0.002,0.005
cdfg_29/cdfg_28,17,4.953,8.749,4.138,8.85
cdfg_29/cdfg_29,53,12.265,9.257,13.903,20.3
cdfg_29/cdfg_30,23,5.346,8.765,6.936,8.865
cdfg_29/cdfg_31,21,1.906,8.415,2.4,3.945
cdfg_29/cdfg_32,16,3.166,8.606,5.778,8.895
cdfg_29/cdfg_33,13,11.493,11.93,9.737,18.87
cdfg_29/cdfg_34,0,0.003,0.0,0.0,0.025
cdfg_29/cdfg_35,0,0.768,6.696,1.739,2.475
cdfg_29/cdfg_36,14,5.604,10.118,8.356,9.99
cdfg_29/cdfg_37,22,5.898,9.328,8.807,10.525
cdfg_29/cdfg_38,0,0.039,0.0,0.0,0.055
cdfg_29/cdfg_39,32,16.22,9.718,18.593,26.155
cdfg_29/cdfg_40,16,0.557,8.813,0.7,1.325
cdfg_29/cdfg_41,6,2.968,7.376,3.861,5.265
cdfg_29/cdfg_42,19,1.442,7.447,1.58,2.89
cdfg_29/cdfg_43,55,9.821,8.621,10.933,16.835
cdfg_29/cdfg_44,2,0.811,8.369,0.752,1.47
cdfg_29/cdfg_45,9,14.345,9.301,16.748,22.48
cdfg_29/cdfg_46,6,2.938,8.654,3.339,5.205
cdfg_29/cdfg_47,1,0.171,4.199,0.234,0.325
cdfg_29/cdfg_48,21,1.844,9.444,2.007,3.55
cdfg_29/cdfg_49,8,2.818,8.246,2.969,5.485
cdfg_29/cdfg_50,3,1.444,8.186,1.426,2.795
cdfg_29/cdfg_51,11,2.04,8.226,1.712,3.56
cdfg_29/cdfg_52,13,5.64,8.09,9.045,10.895
cdfg_29/cdfg_53,3,4.361,8.077,7.511,7.255
cdfg_29/cdfg_54,18,0.912,7.903,1.455,2.185
cdfg_29/cdfg_55,30,3.69,9.269,4.306,7.36
cdfg_29/cdfg_56,0,9.441,7.026,8.912,15.41
cdfg_29/cdfg_57,11,0.362,8.143,0.482,0.88
cdfg_29/cdfg_58,3,4.538,8.577,6.399,7.825
cdfg_29/cdfg_59,3,4.691,8.17,7.777,9.35
cdfg_29/cdfg_60,19,1.775,8.739,1.993,3.465
cdfg_29/cdfg_61,16,2.15,8.759,2.268,3.895
cdfg_29/cdfg_62,20,1.599,7.798,1.691,2.695
cdfg_29/cdfg_63,3,6.796,8.081,5.348,10.925
cdfg_29/cdfg_64,3,2.368,9.589,1.933,3.92
cdfg_29/cdfg_65,3,1.426,9.042,1.25,2.37
cdfg_29/cdfg_66,3,0.778,7.344,0.969,1.705
cdfg_29/cdfg_67,9,2.01,8.347,2.699,4.44
cdfg_29/cdfg_68,27,2.715,8.527,3.393,5.645
cdfg_29/cdfg_69,10,8.22,9.33,11.624,14.345
cdfg_29/cdfg_71,11,1.044,7.776,0.742,1.755
cdfg_29/cdfg_72,4,0.918,8.235,1.125,1.735
cdfg_29/cdfg_73,0,0.033,1.614,0.002,0.045
cdfg_29/cdfg_74,5,0.544,9.012,0.605,1.25
cdfg_29/cdfg_76,6,14.617,8.48,18.641,24.07
cdfg_29/cdfg_77,9,11.37,8.357,14.731,18.77
